映画・ドラマ,地雷フラグ,友人におすすめ,ワクワク,怖い,感動,イケメン・美人,胸キュン,爆発・暴力,あり得ない,勉強になる,悲しい,笑える,社会派,アクション,絵が美しい🥰
トップガン,1,6.0,6.0,5.0,7.0,9.0,8.0,7.0,4.0,6.0,8.0,7.0,6.0,7.0,5.0
ドクタースリープ,1,5.0,8.0,10.0,5.0,5.0,0.0,10.0,8.0,0.0,9.0,0.0,0.0,7.0,0.0
ドラえもん,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ナイト　ミュージアム,0,7.0,6.0,5.0,8.0,7.0,4.0,5.0,9.0,5.0,5.0,7.0,4.0,5.0,0.0
ナルニア国物語　,0,10.0,8.0,0.3333333333333333,5.0,8.333333333333334,2.0,1.3333333333333333,6.666666666666667,0.0,0.6666666666666666,0.0,0.0,10.0,9.0
ハウルの動く城,0,8.75,9.25,4.75,8.5,9.5,6.75,5.0,6.75,2.25,2.5,3.5,0.25,3.5,7.0
ハッピーフライト,0,8.0,8.0,4.0,8.0,8.0,8.0,1.0,5.0,7.0,3.0,9.0,1.0,1.0,1.0
ハリーポッターとアズカバンの囚人,0,9.0,9.0,5.0,5.0,8.0,1.0,3.0,3.0,2.0,1.0,5.0,0.0,4.0,10.0
ハリーポッターと不死鳥の騎士団,0,10.0,10.0,7.0,5.0,10.0,8.0,7.0,6.0,2.0,9.0,5.0,0.0,5.0,10.0
ハリーポッターと死の秘宝,0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,6.0,2.0,10.0,3.0,0.0,7.0,10.0
ハリーポッターと炎のゴブレット,0,9.0,10.0,7.0,5.0,10.0,10.0,5.0,6.0,2.0,10.0,5.0,0.0,6.0,10.0
ハリーポッターと秘密の部屋,0,9.0,10.0,5.0,5.0,8.0,1.0,3.0,3.0,2.0,1.0,5.0,0.0,4.0,10.0
ハリーポッターと謎のプリンス,0,9.0,9.0,8.0,5.0,10.0,8.0,8.0,6.0,2.0,8.0,3.0,0.0,7.0,10.0
ハリーポッターと賢者の石,0,6.25,5.0,3.5,3.25,4.25,1.0,1.75,5.75,1.0,1.75,2.5,0.0,5.0,2.5
バケモノの子,0,7.666666666666667,7.0,4.0,7.0,4.0,5.0,7.666666666666667,8.0,4.333333333333333,4.333333333333333,4.666666666666667,4.333333333333333,6.0,8.666666666666666
バックトゥザフューチャー1,0,10.0,10.0,0.0,8.0,4.0,2.0,6.0,10.0,0.0,0.0,5.0,0.0,7.0,2.0
バックトゥザフューチャー2,0,10.0,10.0,0.0,8.0,4.0,2.0,6.0,10.0,0.0,0.0,5.0,0.0,7.0,2.0
バックトゥザフューチャー3,0,10.0,10.0,0.0,8.0,4.0,2.0,6.0,10.0,0.0,0.0,5.0,0.0,7.0,2.0
パイレーツオブカリビアン,0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,2.0,3.0,2.0,4.0,3.0,19.0,7.0
パフューム,1,5.0,10.0,8.0,4.0,10.0,0.0,6.0,10.0,0.0,4.0,0.0,0.0,4.0,10.0
パラサイト,1,10.0,7.0,10.0,2.0,4.0,2.0,9.0,4.5,5.0,8.0,8.0,10.0,6.0,7.0
パルプフィクション,1,5.0,9.0,7.0,5.0,9.0,1.0,10.0,6.666666666666667,0.0,2.0,8.0,7.0,6.5,2.5
